publishTime,startTime,generation,horizon_hours
2024-01-01 04:30:00+00:00,2024-01-02 14:00:00+00:00,10415,33.5
2024-01-01 07:30:00+00:00,2024-01-02 14:00:00+00:00,9902,30.5
2024-01-01 09:30:00+00:00,2024-01-02 14:00:00+00:00,9908,28.5
2024-01-01 11:30:00+00:00,2024-01-02 14:00:00+00:00,9902,26.5
2024-01-01 15:30:00+00:00,2024-01-02 14:00:00+00:00,9980,22.5
2024-01-01 18:30:00+00:00,2024-01-02 14:00:00+00:00,8780,19.5
2024-01-01 22:30:00+00:00,2024-01-02 14:00:00+00:00,8783,15.5
2024-01-01 02:30:00+00:00,2024-01-02 15:00:00+00:00,10231,36.5
2024-01-01 04:30:00+00:00,2024-01-02 15:00:00+00:00,10255,34.5
2024-01-01 07:30:00+00:00,2024-01-02 15:00:00+00:00,9981,31.5
2024-01-01 09:30:00+00:00,2024-01-02 15:00:00+00:00,9987,29.5
2024-01-01 11:30:00+00:00,2024-01-02 15:00:00+00:00,9971,27.5
2024-01-01 15:30:00+00:00,2024-01-02 15:00:00+00:00,10142,23.5
2024-01-01 18:30:00+00:00,2024-01-02 15:00:00+00:00,8797,20.5
2024-01-01 22:30:00+00:00,2024-01-02 15:00:00+00:00,8802,16.5
2024-01-01 02:30:00+00:00,2024-01-02 16:00:00+00:00,10373,37.5
2024-01-01 04:30:00+00:00,2024-01-02 16:00:00+00:00,10389,35.5
2024-01-01 07:30:00+00:00,2024-01-02 16:00:00+00:00,10242,32.5
2024-01-01 09:30:00+00:00,2024-01-02 16:00:00+00:00,10248,30.5
2024-01-01 11:30:00+00:00,2024-01-02 16:00:00+00:00,10238,28.5
2024-01-01 15:30:00+00:00,2024-01-02 16:00:00+00:00,10314,24.5
2024-01-01 18:30:00+00:00,2024-01-02 16:00:00+00:00,8864,21.5
2024-01-01 22:30:00+00:00,2024-01-02 16:00:00+00:00,8869,17.5
2024-01-01 02:30:00+00:00,2024-01-02 17:00:00+00:00,10617,38.5
2024-01-01 04:30:00+00:00,2024-01-02 17:00:00+00:00,10626,36.5
2024-01-01 07:30:00+00:00,2024-01-02 17:00:00+00:00,10482,33.5
2024-01-01 09:30:00+00:00,2024-01-02 17:00:00+00:00,10486,31.5
2024-01-01 11:30:00+00:00,2024-01-02 17:00:00+00:00,10472,29.5
2024-01-01 15:30:00+00:00,2024-01-02 17:00:00+00:00,10490,25.5
2024-01-01 18:30:00+00:00,2024-01-02 17:00:00+00:00,9213,22.5
2024-01-01 22:30:00+00:00,2024-01-02 17:00:00+00:00,9219,18.5
2024-01-01 02:30:00+00:00,2024-01-02 18:00:00+00:00,10846,39.5
2024-01-01 04:30:00+00:00,2024-01-02 18:00:00+00:00,10849,37.5
2024-01-01 07:30:00+00:00,2024-01-02 18:00:00+00:00,10889,34.5
2024-01-01 09:30:00+00:00,2024-01-02 18:00:00+00:00,10891,32.5
2024-01-01 11:30:00+00:00,2024-01-02 18:00:00+00:00,10871,30.5
2024-01-01 15:30:00+00:00,2024-01-02 18:00:00+00:00,10984,26.5
2024-01-01 18:30:00+00:00,2024-01-02 18:00:00+00:00,9757,23.5
2024-01-01 22:30:00+00:00,2024-01-02 18:00:00+00:00,9757,19.5
2024-01-01 02:30:00+00:00,2024-01-02 19:00:00+00:00,11201,40.5
2024-01-01 04:30:00+00:00,2024-01-02 19:00:00+00:00,11203,38.5
2024-01-01 07:30:00+00:00,2024-01-02 19:00:00+00:00,11306,35.5
2024-01-01 09:30:00+00:00,2024-01-02 19:00:00+00:00,11307,33.5
2024-01-01 11:30:00+00:00,2024-01-02 19:00:00+00:00,11288,31.5
2024-01-01 15:30:00+00:00,2024-01-02 19:00:00+00:00,11420,27.5
2024-01-01 18:30:00+00:00,2024-01-02 19:00:00+00:00,10278,24.5
2024-01-01 22:30:00+00:00,2024-01-02 19:00:00+00:00,10280,20.5
2024-01-01 02:30:00+00:00,2024-01-02 20:00:00+00:00,11519,41.5
2024-01-01 04:30:00+00:00,2024-01-02 20:00:00+00:00,11518,39.5
2024-01-01 07:30:00+00:00,2024-01-02 20:00:00+00:00,11778,36.5
2024-01-01 09:30:00+00:00,2024-01-02 20:00:00+00:00,11779,34.5
2024-01-01 11:30:00+00:00,2024-01-02 20:00:00+00:00,11753,32.5
2024-01-01 15:30:00+00:00,2024-01-02 20:00:00+00:00,11930,28.5
2024-01-01 18:30:00+00:00,2024-01-02 20:00:00+00:00,11158,25.5
2024-01-01 22:30:00+00:00,2024-01-02 20:00:00+00:00,11162,21.5
2024-01-01 02:30:00+00:00,2024-01-02 21:00:00+00:00,11793,42.5
2024-01-01 04:30:00+00:00,2024-01-02 21:00:00+00:00,11790,40.5
2024-01-01 07:30:00+00:00,2024-01-02 21:00:00+00:00,11821,37.5
2024-01-01 09:30:00+00:00,2024-01-02 21:00:00+00:00,11821,35.5
2024-01-01 11:30:00+00:00,2024-01-02 21:00:00+00:00,11809,33.5
2024-01-01 15:30:00+00:00,2024-01-02 21:00:00+00:00,12026,29.5
2024-01-01 18:30:00+00:00,2024-01-02 21:00:00+00:00,11559,26.5
2024-01-01 22:30:00+00:00,2024-01-02 21:00:00+00:00,11559,22.5
2024-01-02 02:30:00+00:00,2024-01-02 21:00:00+00:00,11431,18.5
2024-01-02 04:30:00+00:00,2024-01-02 21:00:00+00:00,11442,16.5
2024-01-02 07:30:00+00:00,2024-01-02 21:00:00+00:00,11418,13.5
2024-01-02 09:30:00+00:00,2024-01-02 21:00:00+00:00,11419,11.5
2024-01-02 11:30:00+00:00,2024-01-02 21:00:00+00:00,11422,9.5
2024-01-02 15:30:00+00:00,2024-01-02 21:00:00+00:00,11827,5.5
2024-01-02 18:30:00+00:00,2024-01-02 21:00:00+00:00,12255,2.5
2024-01-01 02:30:00+00:00,2024-01-02 22:00:00+00:00,11706,43.5
2024-01-01 04:30:00+00:00,2024-01-02 22:00:00+00:00,11703,41.5
2024-01-01 07:30:00+00:00,2024-01-02 22:00:00+00:00,11903,38.5
2024-01-01 09:30:00+00:00,2024-01-02 22:00:00+00:00,11902,36.5
2024-01-01 11:30:00+00:00,2024-01-02 22:00:00+00:00,11867,34.5
2024-01-01 15:30:00+00:00,2024-01-02 22:00:00+00:00,11888,30.5
2024-01-01 18:30:00+00:00,2024-01-02 22:00:00+00:00,11436,27.5
